Metric,Value,Inference Time (s)
Precision@0.50,0.049805980175733566,144.8715386390686
Recall@0.50,0.9821428656578064,144.8715386390686
mAP@0.50,0.8660602569580078,144.8715386390686
F1@0.50,0.09469355642795563,144.8715386390686
